Time,Time Code,Country Name,Country Code,Coal rents (% of GDP) [NY.GDP.COAL.RT.ZS],Forest rents (% of GDP) [NY.GDP.FRST.RT.ZS],Mineral rents (% of GDP) [NY.GDP.MINR.RT.ZS],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Agricultural land (% of land area) ,Arable land (% of land area) ,Forest area (% of land area) 
2014,YR2014,Saudi Arabia,SAU,0,0.001676096,0.05077833,0.964006596,40.32196899,41.33843001,80.74433988,1.595578897,0.454484135
2014,YR2014,New Zealand,NZL,0.041779898,0.494880819,0.185891579,0.279204465,0.427387592,1.429144352,42.21639892,2.240704873,37.39665034
2014,YR2014,Norway,NOR,0.005244687,0.042119185,0.025955915,1.901793767,5.542336367,7.517449921,2.702652366,2.213536817,33.23181086
2014,YR2014,Netherlands,NLD,0,0.002970583,0,0.625839472,0.061056568,0.689866623,54.58889878,31.01810626,10.88037993
2014,YR2014,Japan,JPN,0.00061134,0.015779615,0.001690094,0.006292105,0.00369773,0.028070884,13.36076818,11.5829904,68.44554184
2014,YR2014,Ireland,IRL,0,0.01758108,0.008395188,0.00548799,0.003931613,0.035395871,64.82798665,6.752503992,10.8551604
2014,YR2014,Iceland,ISL,0,0.000347133,0,0,0,0.000347133,18.67531172,1.208977556,0.473436409
2015,YR2015,Australia,AUS,0.467415278,0.115985892,1.851790924,0.604563396,0.197899254,3.237654745,45.31442407,4.04705622,17.3248246
2015,YR2015,Canada,CAN,0.067743431,0.076866056,0.153735193,0,0.034589158,0.332933838,6.467505206,4.269880733,38.71643807
2015,YR2015,United Kingdom,GBR,0.003523438,0.00515012,0,0.088790027,0.24024646,0.337710046,70.83867234,24.84602984,13.04096226
2015,YR2015,United States,USA,0.154809825,0.035786446,0.036250318,0,0.007525181,0.23437177,44.24402728,17.12451161,33.89972254
2015,YR2015,Saudi Arabia,SAU,0,0.001800468,0.055085655,0.841619086,23.95679932,24.85530453,80.77304169,1.623489899,0.454484135
2015,YR2015,New Zealand,NZL,0.023055901,0.61452466,0.13143114,0.31872527,0.19651207,1.284249039,40.68208575,1.815350727,37.3955034
2015,YR2015,Norway,NOR,0.003880448,0.043965778,0.011465559,1.957021253,3.146065577,5.162398616,2.700041376,2.210190457,33.24564399
2015,YR2015,Netherlands,NLD,0,0.005011181,0,0.409802072,0.027793411,0.442606663,54.82625483,30.94743095,10.83546184
2015,YR2015,Japan,JPN,0.000356435,0.017410263,0.001718848,0.007507121,0.001976045,0.028968712,13.29492455,11.53635117,68.43347051
2015,YR2015,Ireland,IRL,0,0.013874061,0.000547335,0.003073852,0.00127546,0.018770708,64.30541443,6.575700392,10.95471041
2015,YR2015,Iceland,ISL,0,0.000299592,0,0,0,0.000299592,18.67331671,1.206982544,0.480399002
2016,YR2016,Australia,AUS,0.595294475,0.136536318,2.588433725,0.587554401,0.173168976,4.080987895,44.53992579,3.907556143,17.42548771
2016,YR2016,Canada,CAN,0.076214711,0.077973164,0.160582353,0,0.471724709,0.786494937,6.474755147,4.297542047,38.71201338
2016,YR2016,United Kingdom,GBR,0.002461865,0.005723906,5.89E-06,0.059149897,0.20568357,0.273025132,71.71488364,24.90807465,13.05749597
2016,YR2016,United States,USA,0.135996651,0.037031058,0.038002223,0,0.0922955,0.303325431,44.30370531,17.18418964,33.89972254
2016,YR2016,Saudi Arabia,SAU,0,0.001448046,0.045006031,0.683364774,20.00517714,20.73499599,80.76838986,1.617442515,0.454484135
2016,YR2016,New Zealand,NZL,0.021430962,0.571752154,0.097435278,0.229710796,0.127171106,1.047500296,40.30990088,2.054612434,37.39603509
2016,YR2016,Norway,NOR,0.003376604,0.046629961,0,1.212485063,2.604603019,3.867094646,2.693886082,2.204933356,33.27109973
2016,YR2016,Netherlands,NLD,0,0.006937939,0,0.229978466,0.014292712,0.251209116,53.90555391,30.53163053,10.86308286
2016,YR2016,Japan,JPN,0.00036261,0.017122308,0.001466948,0.005019329,0.001205671,0.025176865,13.20438957,11.478738,68.42249657
2016,YR2016,Ireland,IRL,0,0.014288784,0.01051767,0.039385997,0.001032421,0.065224871,64.75540717,6.691827551,11.06619248
2016,YR2016,Iceland,ISL,0,0.000252335,0,0,0,0.000252335,18.67331671,1.206982544,0.485386534
2017,YR2017,Australia,AUS,0.778130785,0.19478047,3.185874884,0.710596127,0.198665474,5.06804774,48.34061794,3.997909522,17.42291362
2017,YR2017,Canada,CAN,0.089042826,0.086355755,0.204739487,0,0.816766635,1.196904703,6.454410697,4.295199758,38.7078876
2017,YR2017,United Kingdom,GBR,0.002534415,0.005470553,4.65E-05,0.083497613,0.306336105,0.39788522,72.19506675,25.1431381,13.07816311
2017,YR2017,United States,USA,0.182332986,0.041419745,0.041267742,0,0.162525851,0.427546324,44.36336735,17.24385674,33.86692641
2017,YR2017,Saudi Arabia,SAU,0,0.001712231,0.064556443,0.803215173,23.61707191,24.48655576,80.7540157,1.599300364,0.454484135
2017,YR2017,New Zealand,NZL,0.028685251,1.084379088,0.114124952,0.215964024,0.150386336,1.59353965,40.42383502,1.864722191,37.41160609
2017,YR2017,Norway,NOR,0.000668386,0.041236014,0,1.658585363,3.635413715,5.335903477,2.698027788,2.195123287,33.29453362
2017,YR2017,Netherlands,NLD,0,0.005870424,0,0.257105897,0.02058846,0.28356478,54.02435402,30.7989308,10.89100089
2017,YR2017,Japan,JPN,0.000506496,0.02896143,0.001548599,0.005547156,0.001882188,0.038445869,13.10836763,11.41563786,68.40877915
2017,YR2017,Ireland,IRL,0,0.01422753,0.041578008,0.055654802,0.001372732,0.112833072,65.16185223,6.691827551,11.17752939
2017,YR2017,Iceland,ISL,0,0.000217387,0,0,0,0.000217387,18.67331671,1.206982544,0.492568579
2018,YR2018,Australia,AUS,0.796605829,0.178301252,2.861055972,1.126812914,0.264744672,5.227520639,46.65809501,4.026770601,17.42131456
2018,YR2018,Canada,CAN,0.085387042,0.061377117,0.125273089,0.020538339,1.505628729,1.798204317,6.456819908,4.315388056,38.70376294
2018,YR2018,United Kingdom,GBR,0.002528143,0.007068504,3.82E-05,0.121001219,0.495559268,0.626195353,71.71852023,24.95675361,13.11536395
2018,YR2018,United States,USA,0.198369639,0.034627466,0.03524484,0.008189258,0.319247607,0.59567881,44.36336735,17.24385674,33.86692641
2018,YR2018,Saudi Arabia,SAU,0,0.000750263,0.07839638,1.107314011,28.08428116,29.27074181,80.75373659,1.595578897,0.454484135
2018,YR2018,New Zealand,NZL,0.035325566,1.029623942,0.07091826,0.277834411,0.174430202,1.588132382,39.86935551,1.969161824,37.42793665
2018,YR2018,Norway,NOR,0.000823627,0.052728811,0,2.372847906,4.967221774,7.393622118,2.701337686,2.199924406,33.31726503
2018,YR2018,Netherlands,NLD,0,0.006179043,0,0.32039214,0.02853239,0.355103573,54.14315414,30.32373032,10.91862192
2018,YR2018,Japan,JPN,0.000406308,0.024870067,0.001825074,0.007112723,0.002541229,0.036755402,13.02057613,11.36351166,68.40877915
2018,YR2018,Ireland,IRL,0,0.017959481,0.030857292,0.075032559,0.002226363,0.126075695,65.55378139,6.546668602,11.23559297
2018,YR2018,Iceland,ISL,0,0.000196537,0,0,0,0.000196537,18.56590301,1.200039671,0.496280869
2019,YR2019,Australia,AUS,0.691993901,0.171493969,3.31748181,1.338692137,0.229199448,5.748861265,47.12377243,3.974638651,17.42131456
2019,YR2019,Canada,CAN,0.053736494,0.070550464,0.188938776,0,1.619950096,1.93317583,6.434356244,4.310703479,38.69963717
2019,YR2019,United Kingdom,GBR,0.001915727,0,3.76E-05,0.081411949,0.457125859,0.540491129,72.4229988,25.15437689,13.15256479
2019,YR2019,United States,USA,0.131587352,0.038216107,0.018750106,0,0.36854456,0.557098126,44.36336735,17.24385674,33.86692641
2019,YR2019,Saudi Arabia,SAU,0,0.001048411,0.04272335,1.079817969,24.32957801,25.45316774,80.7634752,1.595578897,0.454484135
2019,YR2019,New Zealand,NZL,0.027712982,1.007833131,0.042631627,0.295210633,0.129888206,1.503276578,39.28829137,2.073601458,37.46731989
2019,YR2019,Norway,NOR,0.000523832,0.044407098,0,1.685969452,4.538003068,6.26890345,2.695892017,2.196700028,33.33990698
2019,YR2019,Netherlands,NLD,0,0.004628127,0,0.192462763,0.021176578,0.218267468,53.95901396,30.02970003,10.94653995
2019,YR2019,Japan,JPN,0.000235295,0.023851633,0.060755753,0.00645253,0.00193345,0.093228662,12.93552812,11.31412894,68.40877915
2019,YR2019,Ireland,IRL,0,0.014104206,0.011872052,0.039273365,0.001920755,0.067170378,65.66990855,6.430541443,11.29365655
2019,YR2019,Iceland,ISL,0,0.000108844,0,0,0,0.000108844,18.56590301,1.200039671,0.502727363
2020,YR2020,Australia,AUS,0.544915652,0.146270882,4.088047232,1.205736023,0.108188866,6.093158656,46.25247984,3.983868997,17.42131456
2020,YR2020,Canada,CAN,0.044253936,0.075157492,0.233498836,0,0.888908482,1.241818746,6.370735222,4.264638468,38.69551251
2020,YR2020,United Kingdom,GBR,0.001023328,0,2.83E-05,0.042695324,0.240228125,0.283975048,71.34004919,24.71170256,13.18563221
2020,YR2020,United States,USA,0.083694958,0.036796385,0.021389523,0,0.187625106,0.329505972,44.36336735,17.24385674,33.86692641
2020,YR2020,Saudi Arabia,SAU,0,0.001118654,0.06064804,1.277749558,15.97891078,17.31842703,80.77321381,1.595578897,0.454484135
2020,YR2020,New Zealand,NZL,0.019495218,0.939103923,0.038956106,0.231004223,0.043907741,1.272467211,38.56291064,2.001443166,37.57012647
2020,YR2020,Norway,NOR,0.000280973,0.041185762,0,0.910002002,3.229818159,4.181286896,2.70656766,2.208427468,33.43535968
2020,YR2020,Netherlands,NLD,0,0.003844916,0,0.06877462,0.011124499,0.083744035,53.88921889,29.84348084,10.97416097
2020,YR2020,Japan,JPN,0.000195157,0.023554452,0.067696279,0.004840521,0.000710793,0.096997201,12.84499314,11.25925926,68.40877915
2020,YR2020,Ireland,IRL,0,0.011607209,0.010137513,0.014057492,0.000960472,0.036762686,65.49571781,6.445057338,11.35172013
2020,YR2020,Iceland,ISL,0,0.000108794,0,0,0,0.000108794,18.56590301,1.200039671,0.509273034
2021,YR2021,Australia,AUS,0.78645962,0.123032397,10.46577549,1.718406401,0.264201375,13.35787528,47.2592375,4.064602016,17.42131456
2021,YR2021,Canada,CAN,0.073021113,0.068030646,1.184260348,0.793958418,2.829785289,4.949055814,6.484576786,4.353203545,39.47012793
2021,YR2021,United Kingdom,GBR,0.001022737,0,5.75E-05,0.171321922,0.416142083,0.58854426,71.15752904,24.84108709,13.22145538
2021,YR2021,United States,USA,0.165541838,0.037712514,0.101999501,0.363207722,0.611482656,1.27994423,44.36336735,17.24385674,33.86692641
2021,YR2021,Saudi Arabia,SAU,0,0.000897109,0.16220219,1.715848462,23.68629406,25.56524182,80.77304169,1.595578897,0.454484135
2021,YR2021,New Zealand,NZL,0.030662463,0.970351896,0.096181142,0.294661482,0.102256581,1.494113565,38.64266454,2.339447799,37.63065094
2021,YR2021,Norway,NOR,0.000758175,0.040371339,0,3.943668993,6.063477883,10.04827639,2.704038213,2.207154034,33.45814918
2021,YR2021,Netherlands,NLD,0,0.003852805,0,0.312284682,0.024399193,0.340536679,53.81645382,29.78912979,11.00198099
2021,YR2021,Japan,JPN,0.000357495,0.028703107,0.007205536,0.008807004,0.002231321,0.047304463,12.781893,11.20987654,68.40877915
2021,YR2021,Ireland,IRL,0,0.011715969,0.036249671,0.051077934,0.001944657,0.100988231,62.9554362,6.328930179,11.40978371
2021,YR2021,Iceland,ISL,0,0.000106968,0,0,0,0.000106968,18.56590301,1.200039671,0.515752256
2022,YR2022,Australia,AUS,..,..,..,..,..,..,..,..,..
2022,YR2022,Canada,CAN,..,..,..,..,..,..,..,..,..
2022,YR2022,United Kingdom,GBR,..,..,..,..,..,..,..,..,..
2022,YR2022,United States,USA,..,..,..,..,..,..,..,..,..
2022,YR2022,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..
2022,YR2022,New Zealand,NZL,..,..,..,..,..,..,..,..,..
2022,YR2022,Norway,NOR,..,..,..,..,..,..,..,..,..
2022,YR2022,Netherlands,NLD,..,..,..,..,..,..,..,..,..
2022,YR2022,Japan,JPN,..,..,..,..,..,..,..,..,..
2022,YR2022,Ireland,IRL,..,..,..,..,..,..,..,..,..
2022,YR2022,Iceland,ISL,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,
